bundle,sigma,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,time
32,11,-233.63846228060365,39.826803708994674,1.37352364620086,-0.09822086597132391,-0.3354335342792025,-0.0023364995912576055,1.0809490727582942,0.004543802580450263,0.7548262280306179,-0.9408864063830518,0.04404725153353293,1.7347866770914917,-0.06073692249537756,-1.0161141298236236,18928.214508531673
32,11,-233.6484309133805,39.79335282477614,1.3732914164533818,-0.0981721289265036,-0.335442373247358,-0.002336784745252884,1.0809472117685455,0.0045293449524881155,0.7564873226444164,-0.9372380609723853,0.04408903849724819,1.7347326372988354,-0.06104365340689473,-1.0151248844638212,18928.1192142166
32,11,-233.6583947001537,39.759901036603054,1.373059158146872,-0.09812339227911597,-0.3354512047912222,-0.0023370698430304204,1.080945350778797,0.004515003603958928,0.7580689031672456,-0.9335545841870198,0.04413275754888589,1.7346786940502974,-0.06136294116053827,-1.0141480452730331,18928.02391990153
32,11,-233.6683536409576,39.72644834521203,1.3728268712868825,-0.0980746560302981,-0.3354600289113483,-0.002337354884589663,1.0809434897890482,0.00450077671392122,0.7595707846163231,-0.9298373966273279,0.04417844309393831,1.7346249735482195,-0.06169459274792552,-1.013183469717963,18927.928625586457
32,11,-233.6783077358266,39.69299475133957,1.3725945558789632,-0.09802592018118673,-0.3354688456082896,-0.0023376398699300575,1.0809416287992994,0.004486662486684411,0.7609928010355709,-0.9260878967273644,0.044226128868538016,1.7345716065074535,-0.06203842067516716,-1.0122310104929395,18927.833331271384
32,11,-233.688256984795,39.65954025572217,1.3723622119286645,-0.09797718473291847,-0.33547765488259934,-0.0023379247990510553,1.080939767809551,0.0044726591518088185,0.762334805495616,-0.9223074607548649,0.04427584793945786,1.7345187281553605,-0.062394242962867275,-1.0112905155199166,18927.73803695631
32,11,-233.69820138789743,39.626084859096345,1.3721298394415384,-0.09792844968662978,-0.33548645673483085,-0.002338209671952107,1.0809379068198022,0.004458764964105664,0.7635966700937898,-0.9184974428112489,0.04432763270411096,1.7344664782318113,-0.06276188314612315,-1.010361827948472,18927.642742641237
32,11,-233.7081409451684,39.5926285621985,1.3718974384231348,-0.09787971504345688,-0.335495251165538,-0.002338494488632665,1.0809360458300534,0.00444497820363707,0.7647782859541282,-0.9146591748316172,0.04438151489055075,1.734415000989186,-0.0631411702745254,-1.0094447861558091,18927.547448326168
32,11,-233.7081409451684,39.5926285621985,1.3718974384231348,-0.09787971504345688,-0.335495251165538,-0.002338494488632665,1.0809360458300534,0.004431297175716059,0.765879563227372,-0.910793966584752,0.044437525557470915,1.7343644451923745,-0.06353193891215808,-1.0085392237467554,18927.452154011095
32,11,-233.7180756577604,39.55917136595417,1.3716650088756903,-0.0978309818115169,-0.3355040380066701,-0.002338779440711926,1.0809341848403047,0.004417720210906554,0.7669004310909661,-0.9069031056731194,0.04449569509420545,1.7343149641187758,-0.06393402913759838,-1.0076449695537633,18927.35685969602
32,11,-233.7280055246918,39.52571327092709,1.3714325507890546,-0.09778224898778749,-0.33551281742707706,-0.002339064334392366,1.0809323238505562,0.00440424566502338,0.7678408377490605,-0.9029878575328655,0.04455605322072862,1.734266715558299,-0.06434728654391698,-1.00676184763691,18927.261565380948
